Question;Réponse
Les hommes et les dauphins sont-ils amis ?;On raconte que certains dauphins ont sauvé des humains de la noyade ou auraient aidé des pêcheurs à attraper du poisson
Où vit le poisson-clown ?;Le poisson-clown vit dans une anémone de mer
"Qui était Jeanne d&rsquo;Arc ?";Jeanne d’Arc était une jeune fille qui vivait au Moyen Âge
Qui a inventé le football ?;En réalité, le football serait inspiré d’un sport pratiqué en France il y a très longtemps
Combien de litres de lait donne une vache par jour ?;Une vache est traite deux fois par jours, le matin et le soir, tous les jours de l’année
Est-ce que le poney est le petit du cheval ?;Non 
Le cheval dort-il debout ?;Oui 
Comment les poules fabriquent-elles les coquilles de leurs œufs ?;La poule ne fabrique pas elle-même la coquille de ses futurs œufs
Quels sont les oiseaux qui ne peuvent pas voler ?;La quasi totalité des oiseaux volent, même un peu, comme les poules 
Est-ce que le poney est le petit du cheval ?;Non 
Le cheval dort-il debout ?;Oui 
Pourquoi le chien remue-t-il la queue ?;On dit que le chien remue la queue lorsqu’il est content
Comment les chats voient-ils la nuit ?;Les chats voient beaucoup mieux que nous dans l’obscurité
Pourquoi le chat fait-il le gros dos ?;On sait qu’un chat n’est pas content lorsqu’il montre les dents, remue la queue, baisse les oreilles et surtout quand il fait le gros dos et qu’il hérisse ses poils 
"Dans l&rsquo;Égypte ancienne, les momies n&rsquo;existaient-elles que pour les hommes ?";Eh non 
Pourquoi le lion a-t-il une crinière ?;Le lion, roi de la savane africaine, a une grosse crinière autour de la tête, au niveau du cou
"À l&rsquo;époque des dinosaures, est-ce que d&rsquo;autres animaux vivaient sur la Terre ?";Bien sûr 
Pourquoi les zèbres ont-ils des rayures ?;Certains scientifiques ont dit que les zèbres avaient des rayures pour se camoufler dans la savane et d’autres pour lutter contre la chaleur
"Qu&rsquo;est-ce qu&rsquo;un ornithorynque ?";L’ornithorynque est un animal qui vit en Australie et dans aucun autre pays de la planète 
"Pourquoi le paresseux s&rsquo;appelle-t-il ainsi ?";Le paresseux est un animal bien particulier 
Comment font les œufs de manchot pour ne pas geler en Antarctique ?;Grâce au papa manchot 
"Comment les araignées fabriquent-elles leur fil&nbsp;?";Les araignées fabriquent un fil collant, très solide et un peu élastique dans leur ventre, l’abdomen, pour construire leur toile
Une araignée est-elle un insecte ?;Eh non puisqu’une araignée a 8 pattes et non 6, comme tous les insectes
"C&rsquo;est quoi un carton rouge, au foot ?";Un carton rouge au foot est donné par l’arbitre à un joueur qui a fait une faute grave
Le plus vieil arbre du monde a-t-il plus de 4 000 ans ?;Eh oui 
Que doit-on faire pour respecter les arbres ?;Les arbres sont vivants et sont les poumons de la planète 
Que font les arbres à la planète ?;Les arbres « nettoient » l’air
"Quand commence et quand s&rsquo;arrête la préhistoire ?";La préhistoire est une période qui va de la naissance de la Terre jusqu’à l’invention de l’écriture, il y a environ 5 500 ans
"Comment s&rsquo;appelaient les ouvertures étroites dans les murs des châteaux forts ?";Les ouvertures étroites et hautes façonnées dans les murailles des châteaux forts s’appelaient des meurtrières
"Qu&rsquo;est-ce qu&rsquo;un « tomahawk » chez les Indiens d&rsquo;Amérique ?";Le « tomahawk », chez les Indiens d’Amérique est une sorte de massue, comme un marteau, à laquelle était attachée une grosse pierre...
À quoi correspondait « la tortue », chez les Romains ?;La tortue correspondait à l’une des techniques de défense de l’armée romaine
"Comment s&rsquo;appelaient les soldats romains ?";Les soldats romains s’appelaient les légionnaires
"En cas d&rsquo;attaque, comment s&rsquo;appelait la technique de défense des légionnaires romains ?";Cette technique s’appellait la tortue
"Combien pesait l&rsquo;armure du chevalier ?";L’armure complète du chevalier pouvait peser jusqu’à 25 kg 
"Comment s&rsquo;appelle le vêtement fait de pièces de métal que portait le chavalier pour se protéger des coups ?";Le vêtement s’appelle une cotte de maille
"Qui fabriquait l&rsquo;armure des chevaliers ?";L’homme qui fabriquait l’armure des chevaliers était le forgeron
Combien de temps dure un match de football ?;Le match se compose de deux mi-temps, chacune d’une durée de 45 minutes
Que signifie le mot « origami » ?;L’origami, cet art délicat du pliage du papier, est un mot japonais qui signifie plier (« oru ») et papier (« kami »)
"Qu&rsquo;est-ce que le chapiteau d&rsquo;un cirque ?";Le chapiteau d’un cirque est la tente en toile qui accueille le spectacle et les spectateurs
Comment se passe la vie dans un cirque ?;Travailler dans un cirque ambulant c’est vivre en groupe et voyager sur les routes
Existe-il toujours des pirates ?;Eh oui 
Qui était Neil Armstrong ?;Neil Armstrong était un astronaute américain
"Comment dorment les astronautes, dans l&rsquo;espace ?";Dans l’espace, il n’y a pas de gravité terrestre, c’est-à-dire que rien n’est retenu au sol
"Qu&rsquo;y a-t-il sur la Lune ?";Sur la Lune, il n’y a que des pierres et de la poussière
Quelles sont les différentes fonctions des joueurs de foot ?;Comme dans tous les sports, chaque joueur a une fonction particulière
Comment les pirates repéraient-ils les navires à attaquer ?;L’un des pirates, tout en haut du mât, surveillait l’horizon avec une longue vue
À quoi servaient les cartes au trésor ?;Les pirates passaient leur temps sur les océans à piller des navires
"En cas d&rsquo;attaque, comment s&rsquo;appelait la technique de défense des légionnaires romains ?";Cette technique s’appellait la tortue
Pourquoi les pirates avaient-ils souvent une jambe de bois, un œil ou un bras en moins ?;Lors des combats, les attaques étaient violentes et les blessures nombreuses 
"Qu&rsquo;est-ce qu&rsquo;un ornithorynque ?";L’ornithorynque est un mammifère amphibie (qui vit sur Terre et dans l’eau) au corps poilu, avec des pattes palmées munies de griffes, une queue de castor et un bec de canard 
"Qu&rsquo;est-ce qu&rsquo;un ornithorynque ?";L’ornithorynque est un animal qui vit en Australie et dans aucun autre pays de la planète 
Quels sont les oiseaux qui ne peuvent pas voler ?;La quasi totalité des oiseaux volent, même un peu, comme les poules 
Qui pond les plus gros œufs du monde ?;Il s’agit de l’autruche
Que permirent les voyages en avion ?;L’invention de l’avion permit de voyager beaucoup plus vite
Les chevaux se battent-ils ?;Les chevaux se battent rarement ou vraiment quand ils ont peur
Que mange la baleine ?;La baleine est le mammifère marin le plus grand au monde
Combien pèse une baleine ?;Une baleine peut peser jusqu’à 19 tonnes, c’est-à-dire l’équivalent de 30 éléphants 
"Comment s&rsquo;appelle le petit de la baleine ?";Le petit de la beleine s’appelle le baleineau
Où vivent les grandes baleines bleues ?;Les baleines bleues, avec leurs 33 mètres de long, sont les plus gros animaux ayant jamais existé 
"C&rsquo;est quoi, les pointes, en danse classique ?";Les pointes sont des chaussons de satin à bouts plats, qui permettent de danser en se tenant sur la pointe des pieds
Qui sont les danseurs étoiles ?;Les danseurs étoiles sont les meilleurs danseurs de l’Opéra
"Qu&rsquo;appelle-t-on un tutu ?";Le tutu est le costume que porte habituellement les danseuses de ballets classiques
Que signifie le mot « manga » ?;Les mangas sont ces bandes dessinées qui nous viennent du Japon et qui remportent un succès fou dans le monde
Le pirate Barbe-Noire a-t-il vraiment existé ?;Oui 
"Qu&rsquo;est-ce que c&rsquo;est que la basse-cour, dans la ferme ?";C’est là que vivent les animaux tels que les poules, les oies, les canards, les pintades, les dindons… tous les animaux à plumes 
Les Vikings étaient-ils des pirates ?;Oui, mais pas seulement 
Pourquoi les pirates avaient-ils souvent une jambe de bois, un œil ou un bras en moins ?;Lors des combats, les attaques étaient violentes et les blessures nombreuses 
Comment se dirige-t-on sur un voilier ?;Pour se diriger, on utilise une barre
"Qu&rsquo;est-ce qu&rsquo;un pirate ?";Un pirate c’est un ancien marin qui, devenu voleur des mers, attaque les navires pour leur voler leurs marchandises...
Pourquoi les bébés ne marchent-ils pas ?;Le corps des bébés, lorsqu’ils naissent, doit encore se perfectionner 
"Qu&rsquo;appelle-t-on les dents de lait ?";Les dents de lait sont les 20 premières dents qui poussent lorsque l’on est bébé
"Quel animal donne une fessée à son petit lorsqu&rsquo;il n&rsquo;est pas sage ?";C’est la maman éléphant
Quel est le plus grand bébé du monde ?;Il s’agit du girafeau, le bébé de la girafe
Quel père met au monde ses petits ?;Il s’agit de l’hippocampe
Qui transporte les repas de ses petits dans un « sac » ?;C’est le pélican qui possède une poche de peau sous son bec
"Qui s&rsquo;invite dans des coquillages vides ?";Il s’agit du bernard-l’ermite
Les femmes préhistoriques portaient-elles des bijoux ?;Eh oui, les hommes préhistoriques étaient de galants hommes 
À quel âge un jeune Indien pouvait partir chasser avec les hommes de sa tribu ?;À partir de 12 ans, un jeune Indien pouvait partir chasser le bison avec les hommes de sa tribu
Pourquoi les Indiens habitaient-ils dans des tipis ?;Les Indiens étaient un peuple de nomades, c’est-à-dire qu’ils se déplaçaient au rythme des saisons, pour suivre les troupeaux de bisons dont ils se nourrissaient
"Qu&rsquo;appelle-t-on « la conquête de l&rsquo;Ouest » ?";La conquête de l’Ouest correspond à l’arrivée des Européens sur le sol américain
"Est-ce qu&rsquo;un bœuf et un taureau, c&rsquo;est la même chose ?";Le taureau est le mâle qui s’accouple avec la vache pour faire de petits
Comment les hommes préhistoriques allumaient-ils les feux ?;Ils frottaient des pierres les unes avec les autres
Existe-t-il des maisons en paille et en bois ?;Oui 
Pourquoi ne peut-on pas manger que des bonbons ?;On ne peut pas manger que des bonbons ou des choses que l’on aime car le corps a besoin d’aliments variés pour être en pleine forme
Le chameau a-t-il une ou deux bosses ?;Le chameau a deux bosses
"Quelle est la différence lorsqu&rsquo;un cheval se cabre ou qu&rsquo;il rue ?";On dit qu’un cheval se cabre, lorsqu’il se lève sur ses postérieurs (jambes arrière) et agite ses antérieurs (jambes avant)
À quoi correspondait « la tortue », chez les Romains ?;La tortue correspondait à l’une des techniques de défense de l’armée romaine
Quel était le dinosaure le plus grand ?;Le dinosaure le plus grand est sans hésitation le brachiosaure
Les dinosaures étaient-ils tous géants ?;Non 
"Comment les poissons respirent-ils sous l&rsquo;eau ?";Les poissons respirent grâce à leurs branchies, conçues pour filtrer l’eau et ne garder que l’oxygène, contenu dans l’eau de mer
Qui était Pelé ?;Pelé est un footballeur brésilien, considéré comme le plus grand joueur de football de tous les temps
Comment Jules César est-il mort ?;Jules César, ce puissant empereur romain, a été assassiné
Pourquoi le canard a-t-il les pattes palmées ?;Le canard a les pattes palmées car cela lui permet de mieux nager
"Existe-il d&rsquo;autres Paris dans le monde ?";Eh bien oui 
La Tour Eiffel a-t-elle été construite pour durer ?;Non 
Pourquoi les insectes sont-ils petits ?;Les insectes sont petits (bien que certains peuvent atteindre 20 cm, plus grands que certains oiseaux !) à cause de leur carapace qui est en fait, leur squelette extérieur
Le tyrannosaure était-il herbivore ou carnivore ?;Le tyrannosaure était l’un des plus grands dinosaures carnivores
Les dinosaures mangeaient-ils tous de la viande ?;Au contraire 
Pourquoi y a-t-il 52 cartes dans un jeu de cartes ?;Les jeux de 52 cartes sont basés sur le calendrier grégorien
À quoi servaient les cartes au trésor ?;Les pirates passaient leur temps sur les océans à piller des navires
"C&rsquo;est quoi un carton rouge, au foot ?";Un carton rouge au foot est donné par l’arbitre à un joueur qui a fait une faute grave
Comment les pompiers sont-ils équipés ?;Les pompiers, heureusement, ont des équipements très adaptés 
Comment les chevaux sont-ils dressés ?;Le cheval est un animal craintif, donc plus facile à dresser que certains autres animaux
Les volcans crachent-ils tous de la lave ?;Eh non 
"D&rsquo;où viennent les céréales ?";Les céréales que l’on mange le matin avec du lait viennent des graines des plantes, comme le blé, le riz, le maïs
"Qui dirigeait les cérémonies sacrées, chez les Indiens d&rsquo;Amérique ?";Celui qui dirigeait les cérémonies sacrées chez les Indiens d’Amérique était le chef de la tribu
"Quelle était la taille du cerveau des dinosaures&nbsp;?";Bien que les dinosaures furent des créatures gigantesques, la plupart d’entre eux avait un tout petit cerveau
Les muscles, à quoi ça sert ?;Si nous n’avions pas de muscles, nous ne pourrions même pas bouger 
"Est-ce que le cerveau s&rsquo;arrête de fonctionner lorsque l&rsquo;on dort ?";Eh non 
Pourquoi est-ce important de dormir ?;On ne peut pas vivre sans dormir 
Combien pèse une baleine ?;Une baleine peut peser jusqu’à 19 tonnes, c’est-à-dire l’équivalent de 30 éléphants 
Les hommes et les dauphins sont-ils amis ?;On raconte que certains dauphins ont sauvé des humains de la noyade ou auraient aidé des pêcheurs à attraper du poisson
"Qu&rsquo;appelle-t-on la « baleine tueuse » ?";C’est le nom que l’on donne à l’orque, car elle est le seul cétacé à manger d’autres mammifères marins
"Pourquoi  les baleines et les dauphins soufflent-ils de l&rsquo;eau ?";Ces animaux marins de la famille des cétacés sont des mammifères, c’est-à-dire qu’ils ont des poumons et non des branchies comme les poissons
Où vivent les grandes baleines bleues ?;Les baleines bleues, avec leurs 33 mètres de long, sont les plus gros animaux ayant jamais existé 
Le chameau a-t-il une ou deux bosses ?;Le chameau a deux bosses
Qui était Pelé ?;Pelé est un footballeur brésilien, considéré comme le plus grand joueur de football de tous les temps
Qui est Lionel Messi ?;Lionel Messi est un grand joueur de football argentin, considéré comme l’un des plus grands joueurs de tous les temps
Quel était le surnom de Zinedine Zidane ?;Zizou, est le surnom de Zinedine Zidane
"Quel est l&rsquo;homme qui a déchiffré les hiéroglyphes ?";L’homme qui a su déchiffrer les hiéroglyphes est Jean-François Champollion
"Pourquoi un chantier, c&rsquo;est long ?";Un chantier c’est long, parce que cela prend du temps de construire une maison ou un immeuble 
"Qu&rsquo;est-ce que le travail sur un chantier ?";  Le travail sur un chantier est assez difficile et dangereux
"Sur un chantier, à quoi sert l&rsquo;architecte ?";D’abord, l’architecte dessine les plans de la maison ou de l’immeuble
Pourquoi y a-t-il des grues sur les chantiers ?;Les grues servent à soulever de lourdes charges, comme les poutres metalliques ou les blocs de beton
Pourquoi les véhicules sur les chantiers sont-ils souvent grands et gros ?;Sur les chantiers, on utilise des machines qui doivent creuser de gros trous, couler des grandes quantités de béton et porter de grosses pierres ou d’imposantes tiges de fer
"D&rsquo;où viennent les poissons panés&nbsp;?";On ne trouve pas de poissons panés dans la mer, ça c’est sûr 
Pourquoi le spectacle de cirque a lieu sous un chapiteau ?;Le spectacle de cirque a lieu sous un chapiteau car c’est une tente en toile qui se démonte
"Qu&rsquo;est-ce que le chapiteau d&rsquo;un cirque ?";Le chapiteau d’un cirque est la tente en toile qui accueille le spectacle et les spectateurs
Qui était Charlemagne ?;Charlemagne était un roi qui a vécu au Moyen Âge
À quel âge un jeune Indien pouvait partir chasser avec les hommes de sa tribu ?;À partir de 12 ans, un jeune Indien pouvait partir chasser le bison avec les hommes de sa tribu
De quoi vivaient les premiers hommes ?;Les premiers hommes vivaient de la chasse
Que mangeaient les hommes préhistoriques ?;Les hommes préhistoriques n’ont pas commencé à se nourrir de la pêche ou de la cueillette de plantes
Pourquoi le chat a-t-il des moustaches ?;Les moustaches du chat lui servent à sentir ce qui se trouve autour de lui
Comment les chats voient-ils la nuit ?;Les chats voient beaucoup mieux que nous dans l’obscurité
Pourquoi le chat fait-il le gros dos ?;On sait qu’un chat n’est pas content lorsqu’il montre les dents, remue la queue, baisse les oreilles et surtout quand il fait le gros dos et qu’il hérisse ses poils 
Pourquoi les chats ronronnent ?;Tous les chats ronronnent lorsqu’ils sont contents, quand on les caresse, par exemple
Quelle est la différence entre les animaux familiers et les animaux sauvages ?;Les animaux familiers, comme les chats, les chiens, les hamsters, les poissons rouges… sont des animaux qui vivent avec les hommes
"Comment appelle-t-on la plus haute tour d&rsquo;un château fort ?";La plus haute tour d’un château fort s’appelle le donjon
Combien de temps fallait-il pour construire un château fort ?;Il fallait parfois plus de 20 ans pour construire un château fort 
Est-ce que tous les châteaux forts se ressemblaient ?;Non, les châteaux forts étaient tous différents
"Comment s&rsquo;appelait la technique qui consistait à encercler un château fort ennemi ?";Cette technique de guerre s’appelle le siège
Le château de Versailles fut-il la résidence de tous les rois de France ?;Le château de Versailles devint la résidence des rois en 1682, date à laquelle Louis XIV s’y installa
"Comment appelle-t-on la plus haute tour d&rsquo;un château fort ?";La plus haute tour d’un château fort s’appelle le donjon
Combien de temps fallait-il pour construire un château fort ?;Il fallait parfois plus de 20 ans pour construire un château fort 
Est-ce que tous les châteaux forts se ressemblaient ?;Non, les châteaux forts étaient tous différents
"Que sont les douves d&rsquo;un château fort ?";Les douves d’un château fort sont des immenses fossés remplis d’eau qui entourent la forteresse
"Comment s&rsquo;appelaient les ouvertures étroites dans les murs des châteaux forts ?";Les ouvertures étroites et hautes façonnées dans les murailles des châteaux forts s’appelaient des meurtrières
"C&rsquo;est quoi, les pointes, en danse classique ?";Les pointes sont des chaussons de satin à bouts plats, qui permettent de danser en se tenant sur la pointe des pieds
Où vivent les gorilles ?;Les gorilles vivent dans les forêts humides d’Afrique
Comment naît le papillon ?;Au tout début, c’est une petite chenille qui sort de son œuf
Que font les chenilles une fois sorties de leur coquille ?;Les chenilles croquent et mangent leur coquille
Pourquoi met-on des fers sur les sabots des poneys et des chevaux ?;Les fers sont faits pour protéger les sabots des chevaux et des poneys
"C&rsquo;est quoi la robe d&rsquo;un cheval ?";Il s’agit de la couleur de ses poils
Le cheval dort-il debout ?;Oui 
Pourquoi le cheval remue-t-il les oreilles ?;Le cheval, comme beaucoup d’animaux, remue ses oreilles en fonction de son humeur
"Quelle est la différence lorsqu&rsquo;un cheval se cabre ou qu&rsquo;il rue ?";On dit qu’un cheval se cabre, lorsqu’il se lève sur ses postérieurs (jambes arrière) et agite ses antérieurs (jambes avant)
"Combien pesait l&rsquo;armure du chevalier ?";L’armure complète du chevalier pouvait peser jusqu’à 25 kg 
"Comment s&rsquo;appelle le vêtement fait de pièces de métal que portait le chavalier pour se protéger des coups ?";Le vêtement s’appelle une cotte de maille
"Comment s&rsquo;appelait la technique qui consistait à encercler un château fort ennemi ?";Cette technique de guerre s’appelle le siège
"Qui fabriquait l&rsquo;armure des chevaliers ?";L’homme qui fabriquait l’armure des chevaliers était le forgeron
Pourquoi les chevaliers participaient-ils à des tournois ?;Les chevaliers participaient à des tournois de façon à mesurer leur force, les uns vis-à-vis des autres
Pourquoi les cheveux deviennent-ils blancs ?;The white hair appears because the melanin which gives the color to the hair and the skin, Problème de pertedecheveux aussi un grand problème ces années
Pourquoi le chien remue-t-il la queue ?;On dit que le chien remue la queue lorsqu’il est content
Comment fait le chien pour se faire comprendre ?;Le chien communique en aboyant, en grognant ou en gémissant
Pourquoi les chiens aiment-ils les os ?;Les chiens adorent ronger les os
Y a-t-il des chiens pompiers ?;Oui, il existe des chiens spécialement entraînés pour aider les pompiers à retrouver des gens sous des bâtiments écroulés, par exemple
Quelle est la différence entre les animaux familiers et les animaux sauvages ?;Les animaux familiers, comme les chats, les chiens, les hamsters, les poissons rouges… sont des animaux qui vivent avec les hommes
Dans quel pays utilise-t-on des baguettes pour manger ?;En Chine et dans beaucoup de pays asiatiques
"Pourquoi les Indiens d&rsquo;Amérique s&rsquo;appellent-ils comme cela ?";Les Indiens d’Amérique sont en fait les premiers habitants du continent américain
Les dinosaures ne vivaient-ils que sur la terre ferme ?;Eh oui 
"Qu&rsquo;est-ce que le chapiteau d&rsquo;un cirque ?";Le chapiteau d’un cirque est la tente en toile qui accueille le spectacle et les spectateurs
Pourquoi le spectacle de cirque a lieu sous un chapiteau ?;Le spectacle de cirque a lieu sous un chapiteau car c’est une tente en toile qui se démonte
"Qu&rsquo;annonce le roulement de tambour, dans un cirque ?";Le roulement de tambour, dans un cirque, annonce qu’un numéro dangereux va se dérouler
"Qu&rsquo;est-ce que monter en amazone, dans un cirque ?";Autrefois, les femmes montaient en amazone
Est-ce que les acrobates de cirque tombent souvent ?;Non, les acrobates de cirque ne tombent pas souvent
"Qu&rsquo;appelle-t-on les claquettes ?";Les claquettes sont une danse qui se pratique en tapant avec ses pieds
"L&rsquo;histoire romaine a-t-elle croisée l&rsquo;histoire d&rsquo;Égypte ?";Oui, entre autres lorsque Cléopâtre rencontra Jules César
Pourquoi il y a-t-il des numéros de clown, dans les cirques ?;Au départ, les clowns entraient en piste pour faire patienter les spectateurs entre les numéros
"Quel l&rsquo;animal remplace les produits chimiques en mangeant les pucerons ?";L’animal qui dévore les pucerons est la coccinelle 
Les pois de la coccinelle servent-ils à donner son âge ?;Non, les pois de la coccinelle ne servent pas à donner son âge 
Le cochon est-il sale ?;Bien au contraire 
Pourquoi le coq chante ?;Le coq est un animal orgueilleux et fier
"Les pirates s&rsquo;attaquaient-ils entre eux ?";Contrairement à ce que l’on peut croire et au code de la piraterie qui était très strict, il n’était pas rare de voir des pirates se combattre lorsqu’ils convoitaient le même butin !..
"Où se déroulaient les spectacles de gladiateurs&nbsp;?";Les spectacles de gladiateurs se déroulaient dans des amphithéâtres, immenses théâtres ronds, où les bancs sont placés tout autour, en escalier
Qui étaient les gladiateurs ?;Les gladiateurs étaient soit des hommes qui se battaient pour de l’argent, soit des esclaves qui essayaient de gagner leur liberté ou encore des bandits qui, à la place d’être en prison, risquaient leur..
Les tricératops se battaient-ils entre eux ?;Oui 
"Les pirates s&rsquo;attaquaient-ils entre eux ?";Contrairement à ce que l’on peut croire et au code de la piraterie qui était très strict, il n’était pas rare de voir des pirates se combattre lorsqu’ils convoitaient le même butin !..
Les dinosaures sont-ils méchants ?;Ce ne sont des animaux ni gentils, ni méchants
"Comment s&rsquo;appelle le vêtement fait de pièces de métal que portait le chavalier pour se protéger des coups ?";Le vêtement s’appelle une cotte de maille
Y a-t-il eut des femmes pirates ?;Oui, il y en eut quelques-unes
Peut-on manger des insectes ?;Oui, dans certaines régions du monde, comme l’Asie ou l’Afrique, on mange beaucoup d’insectes grillés, comme les grillons
"C&rsquo;est quoi une comète ?";Une comète est une boule de glace et de poussières qui tourne autour du Soleil
Les étoiles filantes sont-elles des étoiles ?;Eh bien non 
"Un poney comprend-il ce qu&rsquo;on lui dit ?";Un poney, comme un cheval est un animal sensible
Comment fait le chien pour se faire comprendre ?;Le chien communique en aboyant, en grognant ou en gémissant
"Comment s&rsquo;appelle le plus célèbre chef gaulois qui s&rsquo;opposa aux Romains ?";Il s’agit de Vercingétorix
"Qu&rsquo;appelle-t-on « la conquête de l&rsquo;Ouest » ?";La conquête de l’Ouest correspond à l’arrivée des Européens sur le sol américain
Combien de temps fallait-il pour construire un château fort ?;Il fallait parfois plus de 20 ans pour construire un château fort 
Est-ce que tous les châteaux forts se ressemblaient ?;Non, les châteaux forts étaient tous différents
"Pourquoi un chantier, c&rsquo;est long ?";Un chantier c’est long, parce que cela prend du temps de construire une maison ou un immeuble 
Existe-t-il des maisons en paille et en bois ?;Oui 
La Tour Eiffel a-t-elle été construite pour durer ?;Non 
Sur quel continent se trouve la France ?;Le continent où se trouve la France s’appelle l’Europe
"Sur Terre qu&rsquo;y a-t-il le plus : de la terre ou de la mer ?";La Terre est surtout recouverte d’eau qui sont les mers et les océans
Pourquoi le coq chante ?;Le coq est un animal orgueilleux et fier
Comment les poules fabriquent-elles les coquilles de leurs œufs ?;La poule ne fabrique pas elle-même la coquille de ses futurs œufs
Les coraux sont-ils des plantes ?;Eh non 
"C&rsquo;est quoi le nombril ?";Le nombril correspond à l’endroit où était accroché le cordon ombilical, ce drôle de « tuyau » qui attache le bébé à sa mère, lorsqu’il est dans son ventre
Combien de cornes possédait le tricératops ?;Le tricératops, ce tranquille herbivore possédait trois cornes : « tri » de « tricératops » veut dire « trois »
Pourquoi les bébés ne marchent-ils pas ?;Le corps des bébés, lorsqu’ils naissent, doit encore se perfectionner 
Pourquoi les femmes ont-elles des seins ?;Les femmes ont des seins pour nourrir leur bébé
Pourquoi meurt-on ?;Tous les hommes naissent, grandissent, vieillissent et meurent
Pourquoi ne peut-on pas manger que des bonbons ?;On ne peut pas manger que des bonbons ou des choses que l’on aime car le corps a besoin d’aliments variés pour être en pleine forme
Pourquoi ne mange-t-on pas avec les doigts ?;On ne mange pas avec les doigts dans certains pays, car cela est considéré comme étant malpoli
"C&rsquo;est quoi les dents de sagesse ?";Les dents de sagesse sont au nombre de 4 : 2 en haut et 2 en bas
Pourquoi ferme-t-on les yeux au soleil ?;Regarder le soleil peut être dangereux pour les yeux 
"Qu&rsquo;appelle-t-on les dents de lait ?";Les dents de lait sont les 20 premières dents qui poussent lorsque l’on est bébé
Pourquoi le cœur bat-il ?;Le cœur bat pour faire circuler le sang dans ton corps, comme une pompe
Comment fait-on pour se tenir debout ?;Le corps peut se tenir debout grâce aux os
Qui devenait pirate ?;C’étaient souvent d’anciens corsaires au service du roi qui décidaient d’attaquer des navires pour leur propre compte
Pourquoi les pirates avaient-ils souvent une jambe de bois, un œil ou un bras en moins ?;Lors des combats, les attaques étaient violentes et les blessures nombreuses 
"Un corsaire et un pirate, est-ce que c&rsquo;est pareil ?";Non, le corsaire attaque les navires mais pour le roi, alors que le pirate attaque les navires pour voler leur cargaison mais il garde le trésor qu’il partage avec ses complices...
Comment fabrique-t-on des vêtements de coton ?;Le coton est une matière blanche, douce, qui entoure la graine de cotonnier
"Comment s&rsquo;appelle le vêtement fait de pièces de métal que portait le chavalier pour se protéger des coups ?";Le vêtement s’appelle une cotte de maille
Pourquoi la girafe a un si long cou ?;La girafe a un très long cou pour pouvoir manger les petites feuilles tendres, tout en haut des acacias, ces très grands arbres que l’on trouve dans la savane africaine
Pourquoi le flamant est-il rose ?;C’est à cause de son alimentation 
"C&rsquo;est quoi la robe d&rsquo;un cheval ?";Il s’agit de la couleur de ses poils
La mer Rouge est-elle vraiment rouge ?;Eh non 
De quelle couleur étaient les dinosaures ?;Vert 
"Pourquoi l&rsquo;eau des mers et des océans est-elle bleue ?";L’eau transparente des océans absorbe toutes les couleurs de l’arc-en-ciel sauf le bleu qu’elle rejette
Les dinosaures pouvaient-ils changer de couleur ?;Oui 
Au Moyen Âge, que signifiait la couronne du roi ?;Au Moyen Âge et même après, la couronne du roi symbolise la puissance pour celui qui la porte
"Comment s&rsquo;appelait le chef de la police dans l&rsquo;Ouest américain ?";Le chef de la police était le sherif
Pourquoi les cow-boys portaient-ils des éperons sur leurs bottes ?;Les éperons des cow-boys leur permettaient de piquer les flancs de leur cheval et ainsi de le faire aller plus vite...
"Quelle était l&rsquo;arme des Indiens ?";L’arme des Indiens était l’arc et les flèches
"C&rsquo;est quoi exactement un cow-boy ?";« Cow » veut dire « vache » en anglais et « boy » veut dire « garçon »
Pourquoi y a-t-il eut la guerre entre les cow-boys et les Indiens ?;Les Indiens habitaient les régions d’Amérique depuis bien longtemps lorsque les Blancs voulurent conquérir leurs terres
Pourquoi le lion a-t-il une crinière ?;Le lion, roi de la savane africaine, a une grosse crinière autour de la tête, au niveau du cou
"C&rsquo;est quoi la robe d&rsquo;un cheval ?";Il s’agit de la couleur de ses poils
Quel animal était sacré pour les Égyptiens ?;Il s’agit du crocodile
Le pirate Barbe-Noire a-t-il vraiment existé ?;Oui 
"D&rsquo;où viennent les poissons panés&nbsp;?";On ne trouve pas de poissons panés dans la mer, ça c’est sûr 
Les Romains mangeaient-ils déjà des pizzas ?;Oui 
"C&rsquo;est quoi la danse africaine ?";La danse a une place très importante en Afrique
Pourquoi meurt-on ?;Tous les hommes naissent, grandissent, vieillissent et meurent
"Qu&rsquo;est-ce que l&rsquo;œil d&rsquo;un cyclone ?";Les cyclones sont les tempêtes les plus dévastatrices du monde
Pourquoi le cœur bat-il ?;Le cœur bat pour faire circuler le sang dans ton corps, comme une pompe
Qui sont les danseurs étoiles ?;Les danseurs étoiles sont les meilleurs danseurs de l’Opéra
"Qu&rsquo;appelle-t-on les claquettes ?";Les claquettes sont une danse qui se pratique en tapant avec ses pieds
"Qu&rsquo;appelle-t-on un tutu ?";Le tutu est le costume que porte habituellement les danseuses de ballets classiques
Pourquoi le français est-il la langue officielle de la danse classique ?;Le français est la langue utilisée pour la danse classique parce que les premiers danseurs professionnels sont apparus en France, à l’époque de Louis XIV, le Roi Soleil
"C&rsquo;est quoi la danse africaine ?";La danse a une place très importante en Afrique
Qui sont les danseurs étoiles ?;Les danseurs étoiles sont les meilleurs danseurs de l’Opéra
